Col1,Col2,Col3,Col4
167,132,128,359
124,398,115,87
364,72,95,288
252,253,365,50
372,369,195,75
276,230,396,225
292,86,104,43
232,50,144,392
245,93,32,249
175,23,320,358
151,349,110,65
189,325,138,94
94,150,384,273
132,182,49,173
141,198,155,239
104,70,92,43
304,238,118,230
328,21,362,351
352,127,327,254
320,102,164,394
361,187,129,392
157,249,223,133
128,194,325,181
267,150,322,53
273,112,391,133
75,49,246,45
116,116,206,23
139,361,232,134
295,311,68,267
268,111,295,310
40,30,386,120
382,364,152,355
237,205,360,124
315,51,91,320
82,169,114,75
324,53,264,156
394,250,97,280
176,316,80,188
142,301,259,139
268,219,328,44
232,190,194,214
156,300,55,292
330,260,265,160
363,314,21,276
297,136,180,112
341,149,192,68
127,397,388,327
176,264,150,62
82,281,23,312
194,281,57,124
260,293,311,369
294,366,23,205
167,130,204,399
85,92,87,232
224,127,285,318
365,245,303,156
141,263,371,380
317,167,400,99
20,212,304,84
273,31,194,393
264,385,239,303
242,385,201,330
189,285,287,119
61,26,149,33
24,321,125,191
213,206,335,44
78,259,102,190
24,306,198,54
209,169,302,277
339,206,375,393
354,257,235,248
178,286,222,276
164,301,239,91
97,392,84,241
348,179,351,56
393,261,122,386
125,204,57,106
257,400,267,274
357,263,283,77
82,134,396,220
91,266,271,252
171,238,96,147
338,105,64,60
199,77,182,348
215,172,352,167
307,154,63,126
145,360,137,397
71,94,386,146
23,358,207,97
314,73,143,78
119,106,358,75
326,257,149,280
278,245,38,221
300,50,321,154
251,367,275,273
160,385,210,246
190,221,27,141
350,305,123,342
118,200,309,198
197,208,60,167
189,113,319,74
94,300,193,189
332,58,79,184
193,307,345,191
164,130,251,395
158,217,207,368
314,325,294,67
394,304,211,103
180,80,248,199
383,31,335,163
46,319,94,217
257,237,243,83
29,136,318,79
133,244,21,28
233,139,326,358
238,191,363,200
385,385,376,205
46,36,336,83
303,279,76,208
351,333,186,33
46,57,86,187
68,83,365,21
118,119,114,312
278,169,243,293
250,34,242,265
316,53,342,154
354,373,334,274
394,239,134,32
389,34,340,183
265,239,307,155
373,81,28,357
348,250,184,229
321,222,33,47
217,342,233,376
336,334,354,392
174,388,163,36
159,61,165,41
265,181,362,99
46,202,262,26
74,294,342,392
60,286,398,210
93,187,366,130
62,395,97,223
278,393,251,378
61,261,158,296
321,342,148,367
217,386,192,49
26,363,315,313
156,284,35,31
124,311,62,69
191,385,33,168
399,168,384,146
344,312,380,386
312,237,205,182
159,121,23,246
200,156,243,245
74,322,139,373
160,101,303,39
148,97,346,322
70,41,58,138
187,36,127,233
191,40,202,106
91,92,204,246
311,271,80,245
112,280,382,122
379,363,306,341
256,272,64,262
66,326,92,286
106,94,53,306
107,160,335,389
160,50,90,267
42,357,395,276
79,194,89,295
203,183,299,90
233,69,87,289
345,122,259,365
120,267,214,168
164,242,41,178
217,164,115,197
297,61,59,340
130,39,92,340
176,261,243,48
364,314,161,95
150,158,376,28
318,148,273,125
379,315,98,294
391,264,97,300
362,230,341,258
70,387,91,73
148,58,238,385
302,291,146,46
345,53,213,299
321,191,134,224
326,270,309,138
244,146,306,172
159,360,336,193
270,37,57,163
131,82,225,393
103,146,105,352
210,246,246,223
242,173,378,247
397,32,375,317
161,130,299,20
138,242,224,232
143,57,344,222
293,26,161,355
124,92,66,270
88,44,386,144
256,374,134,48
316,354,125,36
232,140,298,243
336,160,309,357
104,399,323,191
200,129,322,84
46,192,308,356
71,237,289,91
138,90,91,386
153,143,32,212
341,130,203,334
23,277,156,378
322,189,77,395
311,28,125,48
400,65,105,69
124,152,311,80
188,118,368,239
183,264,360,348
312,382,79,140
83,109,329,364
113,75,346,207
323,311,121,178
329,145,206,207
327,65,170,370
207,153,60,278
318,276,167,44
148,253,182,274
99,385,164,107
129,24,275,180
167,45,317,379
250,104,131,274
50,276,307,264
277,74,250,323
262,363,344,361
350,177,56,294
117,398,184,271
90,372,372,320
55,305,131,79
258,57,383,295
386,209,372,192
91,55,196,87
137,393,24,275
238,336,316,170
255,352,259,41
357,256,104,193
364,202,195,379
150,350,315,69
206,147,288,34
319,31,314,387
351,93,77,340
374,141,45,275
143,24,99,93
244,268,342,339
194,257,297,144
280,57,54,316
167,85,145,396
195,38,321,257
385,186,148,162
398,247,179,249
65,311,265,363
394,135,137,181
90,94,182,358
114,157,337,172
288,85,268,190
35,168,322,270
238,239,399,313
346,351,54,252
209,101,244,281
286,72,178,370
297,299,400,360
299,112,46,313
226,236,81,30
235,266,339,387
221,57,319,292
384,183,137,101
192,272,128,322
141,315,253,303
174,27,54,38
152,256,340,375
74,56,146,119
300,377,341,280
108,216,145,189
84,41,85,400
364,119,195,307
157,340,313,350
80,314,187,175
110,168,161,344
334,190,351,337
229,220,43,282
365,318,33,76
267,72,251,59
215,33,306,294
324,135,360,126
84,23,211,286
279,56,107,375
182,23,221,43
150,97,361,312
169,77,74,355
50,37,176,300
284,296,177,202
176,183,154,59
44,329,261,369
272,165,115,79
231,200,124,155
45,214,372,78
200,325,32,22
208,70,336,123
287,43,129,286
303,218,67,390
325,172,234,306
134,90,97,275
77,203,69,139
288,257,342,50
197,394,49,57
302,30,109,351
117,58,288,249
227,249,32,268
392,225,41,380
128,148,206,67
225,267,105,52
354,94,72,371
319,110,139,88
179,118,144,227
61,109,67,72
70,191,223,291
368,200,339,193
310,365,198,159
327,302,95,79
146,309,381,254
268,137,50,291
359,205,104,58
306,42,96,358
366,96,370,390
395,336,262,327
360,170,169,250
346,276,299,368
153,247,323,259
388,43,204,39
77,93,91,293
38,301,224,79
272,386,320,199
55,101,31,246
290,398,193,178
276,301,282,369
246,309,127,57
273,66,173,134
144,119,20,120
224,213,206,40
174,295,82,93
242,101,223,366
393,298,329,22
319,29,169,318
232,71,69,119
156,63,165,53
148,168,225,40
265,142,372,55
89,362,285,78
252,386,371,268
333,193,369,357
277,148,301,364
52,311,166,354
378,382,290,104
248,175,289,92
157,121,161,357
125,317,95,118
83,186,191,151
38,125,33,349
296,227,219,47
233,22,180,138
131,171,253,185
121,246,240,198
31,145,216,280
292,222,115,75
230,313,258,92
254,104,158,399
295,79,149,35
381,25,291,166
34,109,65,197
176,164,116,107
358,76,47,54
244,304,279,271
329,149,110,48
311,352,64,167
316,389,47,396
238,395,125,264
